point_id;point_type_id;station_abbr;postal_code;point_name;point_type_de;point_type_fr;point_type_it;point_type_en;point_height_masl;point_coordinates_lv95_east;point_coordinates_lv95_north;point_coordinates_wgs84_lat;point_coordinates_wgs84_lon
1;1;ARO;;Arosa;Station;Station;Stazione;Station;1878.0;2771031.0;1184830.0;46.792661;9.679014
19;1;GRC;;Grächen;Station;Station;Stazione;Station;1605.0;2630738.0;1116062.0;46.195314;7.836822
35;1;SAE;;Säntis;Station;Station;Stazione;Station;2501.0;2744188.0;1234920.0;47.249447;9.343469
51;1;NEU;;Neuchâtel;Station;Station;Stazione;Station;485.0;2563087.0;1205560.0;47.000067;6.953297
67;1;BUS;;Buchs / Aarau;Station;Station;Stazione;Station;387.0;2648396.0;1248370.0;47.384381;8.07955
82;1;TAE;;Aadorf / Tänikon;Station;Station;Stazione;Station;539.0;2710518.0;1259824.0;47.479892;8.904928
106;1;LOH;;Lohn, SH;Station;Station;Stazione;Station;585.0;2692911.0;1289775.0;47.751944;8.677636
181;1;STC;;St. Chrischona;Station;Station;Stazione;Station;493.0;2618696.0;1269037.0;47.571767;7.687094
257;1;LEU;;Leukerbad;Station;Station;Stazione;Station;1286.0;2614083.0;1135090.0;46.367036;7.621639
311;1;HUT;;Huttwil;Station;Station;Stazione;Station;633.0;2630261.0;1218189.0;47.114003;7.837364
384;1;FIO;;Fionnay;Station;Station;Stazione;Station;1500.0;2589959.0;1097765.0;46.03135;7.308961
429;1;KIS;;Kiesen;Station;Station;Stazione;Station;535.0;2610256.0;1185527.0;46.820811;7.573036
516;1;BEX;;Bex;Station;Station;Stazione;Station;402.0;2565805.0;1121511.0;46.244167;6.995286
647;1;SUA;;Schaan;Station;Station;Stazione;Station;444.0;2755511.0;1228260.0;47.186989;9.490686
738;1;THU;;Thun;Station;Station;Stazione;Station;570.0;2611201.0;1177640.0;46.749853;7.585222
803;1;OED;;Ehrendingen;Station;Station;Stazione;Station;428.0;2667833.0;1262320.0;47.508125;8.339047
859;1;SPF;;Schüpfheim;Station;Station;Stazione;Station;744.0;2643684.0;1199711.0;46.947042;8.012442
1118;1;VIO;;Vicosoprano;Station;Station;Stazione;Station;1089.0;2768487.0;1135866.0;46.353019;9.6278
1741;1;ZELUME;;Menznau;Station;Station;Stazione;Station;579.0;2644360.0;1215720.0;47.091;8.022881
1758;1;ZELUHR;;Hildisrieden;Station;Station;Stazione;Station;710.0;2659054.0;1224318.0;47.167186;8.217519
1780;1;ZHAAT;;Aathal;Station;Station;Stazione;Station;496.0;2700252.0;1243788.0;47.337325;8.76515
1815;1;ZHUHW;;Flurlingen / Rastplatz Buchhalde;Station;Station;Stazione;Station;464.0;2689407.0;1281339.0;47.676575;8.629211
1832;1;ZHWEI;;Weiningen / Limmatthaler-Kreuz;Station;Station;Stazione;Station;407.0;2674844.0;1251648.0;47.411389;8.430311
3956;1;NABHAE;;Härkingen;Station;Station;Stazione;Station;431.0;2628865.0;1240180.0;47.311867;7.820381
3978;1;ZHHOF;;Hofstetten / Schümberg;Station;Station;Stazione;Station;737.0;2707241.0;1258315.0;47.466861;8.861092
4040;1;TIMOL;;Moleno;Station;Station;Stazione;Station;255.0;2719940.0;1126559.0;46.279747;8.994842
4195;1;ZHHED;;Zwillikon / Jonentobelbrücke;Station;Station;Stazione;Station;467.0;2674801.0;1238664.0;47.294619;8.427575
4294;1;VSBWA;;Brig / Wase;Station;Station;Stazione;Station;1945.0;2647485.0;1125950.0;46.283283;8.05475
4313;1;VSSTA;;Stafel;Station;Station;Stazione;Station;2183.0;2618600.0;1094808.0;46.004569;7.678739
